id,id_enchant,unk_3,unk_4,color,min_ilevel
    2, 2686,0,0,  2,   0
    3, 2687,0,0,  8,   0
    4, 2688,0,0,  4,   0
    5, 2689,0,0,  1,   0
   21, 2690,0,0,  2,   0
   22, 2691,0,0,  2,   0
   23, 2692,0,0,  2,   0
   24, 2693,0,0,  2,   0
   25, 2694,0,0,  2,   0
   26, 2695,0,0,  4,   0
   27, 2697,0,0,  8,   0
   28, 2696,0,0,  4,   0
   29, 2698,0,0,  8,   0
   30, 2699,0,0,  8,   0
   31, 2700,0,0,  8,   0
   32, 2701,0,0,  8,   0
   41, 2703,0,0,  1,   0
   42, 2704,0,0,  1,   0
   61, 2705,0,0,  6,   0
   62, 2706,0,0, 12,   0
   63, 2707,0,0, 10,   0
   64, 2708,0,0, 10,   0
   65, 2709,0,0, 10,   0
   66, 2710,0,0, 10,   0
   67, 2711,0,0, 10,   0
   81, 2725,0,0,  2,   0
   82, 2726,0,0,  2,   0
   83, 2727,0,0,  2,   0
   84, 2728,0,0,  2,   0
   85, 2729,0,0,  2,   0
   86, 2730,0,0,  4,   0
   87, 2731,0,0,  8,   0
   88, 2732,0,0,  8,   0
   89, 2733,0,0,  8,   0
  101, 2734,0,0,  2,   0
  102, 2735,0,0,  4,   0
  121, 2736,0,0,  4,   0
  122, 2737,0,0,  4,   0
  123, 2738,0,0, 10,   0
  124, 2739,0,0, 10,   0
  125, 2740,0,0, 10,   0
  126, 2741,0,0, 10,   0
  127, 2742,0,0,  6,   0
  128, 2743,0,0, 12,   0
  129, 2744,0,0, 10,   0
  141, 2752,0,0,  6,   0
  142, 2753,0,0,  6,   0
  143, 2754,0,0,  2,   0
  144, 2755,0,0, 10,   0
  145, 2756,0,0, 10,   0
  146, 2757,0,0, 12,   0
  147, 2758,0,0, 12,   0
  148, 2759,0,0,  4,   0
  149, 2760,0,0,  6,   0
  150, 2761,0,0,  6,   0
  151, 2762,0,0, 12,   0
  152, 2763,0,0, 12,   0
  153, 2764,0,0,  8,   0
  154, 2765,0,0,  8,   0
  161, 2827,0,0,  1,   0
  162, 2828,0,0,  1,   0
  163, 2829,0,0,  1,   0
  164, 2830,0,0,  1,   0
  165, 2831,0,0,  1,   0
  166, 2832,0,0,  1,   0
  167, 2833,0,0,  1,   0
  168, 2834,0,0,  1,   0
  169, 2835,0,0,  1,   0
  181,    0,0,0,  4,   0
  182, 2891,1,1,  4,   0
  201, 2894,0,0,  2,   0
  202, 2896,1,1,  2,   0
  203, 2897,0,0, 12,   0
  204, 2898,1,1, 12,   0
  205, 2899,1,1, 12,   0
  221,    0,0,0,  8,   0
  222, 2917,0,0,  8,   0
  241, 2911,0,0,  2,   0
  242, 2912,1,1,  2,   0
  243, 2913,1,1,  4,   0
  244, 2914,1,1,  4,   0
  261, 2915,0,0,  6,   0
  262, 2916,1,1,  6,   0
