id,epic_points_1,epic_points_2,epic_points_3,epic_points_4,epic_points_5,rare_points_1,rare_points_2,rare_points_3,rare_points_4,rare_points_5,uncm_points_1,uncm_points_2,uncm_points_3,uncm_points_4,uncm_points_5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,9,7,5,4,3,5,4,3,2,2,1,1,1,1,1
11,10,8,6,4,3,6,5,3,3,2,2,2,1,1,1
13,11,8,6,5,3,7,5,4,3,2,3,2,2,1,1
15,12,9,7,5,4,8,6,5,3,3,4,3,2,2,1
17,13,10,7,5,4,9,7,5,4,3,5,4,3,2,2
19,14,11,8,6,4,10,8,6,4,3,6,5,3,3,2
21,15,11,8,6,5,11,8,6,5,3,7,5,4,3,2
23,16,12,9,7,5,12,9,7,5,4,8,6,5,3,3
25,17,13,10,7,5,13,10,7,6,4,9,7,5,4,3
27,18,14,10,8,6,14,11,8,6,4,10,8,6,4,3
29,19,14,11,8,6,15,11,8,6,5,11,8,6,5,3
31,20,15,11,8,6,16,12,9,7,5,12,9,7,5,4
33,21,16,12,9,7,17,13,10,7,5,13,10,7,5,4
35,22,17,12,9,7,18,14,10,8,6,14,11,8,6,4
37,23,17,13,10,7,19,14,11,8,6,15,11,8,6,5
39,24,18,14,10,8,20,15,11,9,6,16,12,9,7,5
41,25,19,14,11,8,21,16,12,9,7,17,13,10,7,5
43,26,20,15,11,8,22,17,12,9,7,18,14,10,8,6
45,27,20,15,11,9,23,17,13,10,7,19,14,11,8,6
47,28,21,16,12,9,24,18,14,10,8,20,15,11,8,6
49,29,22,16,12,9,25,19,14,11,8,21,16,12,9,7
51,30,23,17,13,9,26,20,15,11,8,22,17,12,9,7
53,31,23,17,13,10,27,20,15,12,9,23,17,13,10,7
55,32,24,18,14,10,28,21,16,12,9,24,18,14,10,8
57,33,25,19,14,10,29,22,16,12,9,25,19,14,11,8
59,34,26,19,14,11,30,23,17,13,9,26,20,15,11,8
61,35,26,20,15,11,31,23,17,13,10,27,20,15,11,9
63,36,27,20,15,11,32,24,18,14,10,28,21,16,12,9
65,37,28,21,16,12,32,25,19,14,10,29,22,16,12,9
66,37,28,21,16,12,32,24,18,14,10,29,22,16,12,9
85,37,28,21,16,12,33,25,19,14,10,29,22,16,12,9
86,37,28,21,16,12,34,26,19,15,11,29,22,16,12,9
88,37,28,21,16,12,35,26,20,15,11,29,22,16,12,9
89,37,28,21,16,12,36,27,20,15,11,29,22,16,12,9
91,37,28,21,16,12,37,28,21,16,12,30,23,17,13,9
92,37,28,21,16,12,38,29,21,16,12,30,23,17,13,9
93,37,28,21,16,12,38,29,21,16,12,31,23,17,13,10
94,38,29,21,16,12,39,29,22,17,12,32,24,18,14,10
96,39,29,22,16,12,39,29,22,17,12,33,25,19,14,10
97,39,29,22,16,12,39,29,22,17,12,34,26,19,14,11
98,40,30,23,17,13,39,29,22,17,12,34,26,19,14,11
99,40,30,23,17,13,39,29,22,17,12,35,26,20,15,11
100,40,30,23,17,13,40,30,23,17,13,35,26,20,15,11
101,41,31,23,17,13,40,30,23,17,13,35,26,20,15,11
103,42,32,24,18,13,40,30,23,17,13,35,26,20,15,11
104,42,32,24,18,13,41,31,23,18,13,35,26,20,15,11
105,43,32,24,18,14,41,31,23,18,13,36,27,20,15,11
107,44,33,25,19,14,41,31,23,18,13,36,27,20,15,11
110,45,34,25,19,14,41,31,23,18,13,36,27,20,15,11
111,45,34,25,19,14,41,31,23,18,13,37,28,21,16,12
112,46,35,26,19,15,41,31,23,18,13,37,28,21,16,12
113,46,35,26,19,15,42,32,24,18,13,37,28,21,16,12
114,47,35,26,20,15,42,32,24,18,13,37,28,21,16,12
115,47,35,26,20,15,43,32,24,18,14,37,28,21,16,12
121,47,35,26,20,15,43,32,24,18,14,38,29,21,16,12
138,47,35,26,20,15,44,33,25,19,14,38,29,21,16,12
139,47,35,26,20,15,44,33,25,19,14,39,29,22,16,12
143,47,35,26,20,15,44,33,25,19,14,40,30,23,17,13
146,47,35,26,20,15,44,33,25,19,14,41,31,23,17,13
148,47,35,26,20,15,44,33,25,19,14,42,32,24,18,13
150,47,35,26,20,15,44,33,25,19,14,43,32,24,18,14
152,47,35,26,20,15,44,33,25,19,14,44,33,25,19,14
154,47,35,26,20,15,44,33,25,19,14,45,34,25,19,14
159,47,35,26,20,15,45,34,25,19,14,45,34,25,19,14
161,47,35,26,20,15,46,35,26,20,15,45,34,25,19,14
162,47,35,26,20,15,46,35,26,20,15,46,35,26,19,15
163,47,35,26,20,15,47,35,26,20,15,46,35,26,19,15
165,47,35,26,20,15,48,36,27,21,15,46,35,26,19,15
166,48,36,27,20,15,48,36,27,21,15,46,35,26,19,15
167,48,36,27,20,15,49,37,28,21,16,46,35,26,19,15
170,48,36,27,20,15,49,37,28,21,16,47,35,26,20,15
173,49,37,28,21,16,49,37,28,21,16,47,35,26,20,15
175,49,37,28,21,16,50,38,28,21,16,47,35,26,20,15
180,50,38,28,21,16,50,38,28,21,16,47,35,26,20,15
183,50,38,28,21,16,51,38,29,22,16,47,35,26,20,15
187,51,38,29,22,16,51,38,29,22,16,47,35,26,20,15
194,52,39,29,22,16,51,38,29,22,16,47,35,26,20,15
200,52,39,29,22,16,52,39,29,22,16,47,35,26,20,15
201,53,40,30,22,17,52,39,29,22,16,47,35,26,20,15
207,54,41,30,23,17,52,39,29,22,16,47,35,26,20,15
213,55,41,31,23,17,52,39,29,22,16,47,35,26,20,15
278,55,41,31,23,17,52,39,29,22,16,48,36,27,20,15
289,55,41,31,23,17,52,39,29,22,16,49,37,28,21,16
291,56,42,32,24,18,52,39,29,22,16,49,37,28,21,16
292,56,42,32,24,18,52,39,29,22,16,50,38,28,21,16
295,56,42,32,24,18,52,39,29,22,16,51,38,29,22,16
297,56,42,32,24,18,52,39,29,22,16,52,39,29,22,16
300,56,42,32,24,18,53,40,30,23,17,53,40,30,22,17
305,57,43,32,24,18,54,41,30,23,17,54,41,30,23,17
317,57,43,32,24,18,55,41,31,24,17,54,41,30,23,17
319,58,44,33,24,18,55,41,31,24,17,54,41,30,23,17
325,58,44,33,24,18,56,42,32,24,18,54,41,30,23,17
332,59,44,33,25,19,56,42,32,24,18,54,41,30,23,17
333,59,44,33,25,19,57,43,32,24,18,54,41,30,23,17
346,60,45,34,25,19,58,44,33,25,18,54,41,30,23,17
359,61,46,34,26,19,58,44,33,25,18,54,41,30,23,17
364,61,46,34,26,19,59,44,33,25,19,54,41,30,23,17
378,61,46,34,26,19,59,44,33,25,19,55,41,31,23,17
382,61,46,34,26,19,60,45,34,26,19,55,41,31,23,17
385,61,46,34,26,19,60,45,34,26,19,56,42,32,24,18
399,61,46,34,26,19,60,45,34,26,19,57,43,32,24,18
400,61,46,34,26,19,61,46,34,26,19,57,43,32,24,18
407,61,46,34,26,19,61,46,34,26,19,58,44,33,24,18
416,61,46,34,26,19,61,46,34,26,19,59,44,33,25,19
418,62,47,35,26,20,62,47,35,27,20,59,44,33,25,19
423,62,47,35,26,20,62,47,35,27,20,60,45,34,25,19
429,62,47,35,26,20,62,47,35,27,20,61,46,34,26,19
433,62,47,35,27,20,62,47,35,27,20,62,47,35,27,20
435,63,47,35,27,20,63,47,35,27,20,62,47,35,27,20
437,63,47,35,27,20,63,47,35,27,20,63,47,35,27,20
444,64,48,36,27,20,64,48,36,27,20,64,48,36,27,20
450,65,49,37,28,21,65,49,37,28,21,65,49,37,28,21
457,66,50,37,28,21,66,50,37,28,21,66,50,37,28,21
463,67,50,38,29,21,67,50,38,29,21,67,50,38,29,21
464,68,51,38,29,22,68,51,38,29,22,68,51,38,29,22
466,69,52,39,30,22,69,52,39,30,22,69,52,39,30,22
467,70,53,39,30,22,70,53,39,30,22,70,53,39,30,22
469,71,53,40,30,22,71,53,40,30,22,71,53,40,30,22
470,72,54,41,31,23,72,54,41,31,23,72,54,41,31,23
472,73,55,41,31,23,73,55,41,31,23,73,55,41,31,23
473,74,56,42,32,23,74,56,42,32,23,74,56,42,32,23
475,75,56,42,32,24,75,56,42,32,24,75,56,42,32,24
476,76,57,43,33,24,76,57,43,33,24,76,57,43,33,24
478,77,58,43,33,24,77,58,43,33,24,77,58,43,33,24
479,78,59,44,33,25,78,59,44,33,25,78,59,44,33,25
481,79,59,44,34,25,79,59,44,34,25,79,59,44,34,25
482,80,60,45,34,25,80,60,45,34,25,80,60,45,34,25
483,81,61,46,35,26,81,61,46,35,26,81,61,46,35,26
485,82,62,46,35,26,82,62,46,35,26,82,62,46,35,26
486,83,62,47,36,26,83,62,47,36,26,83,62,47,36,26
487,84,63,47,36,27,84,63,47,36,27,84,63,47,36,27
488,85,64,48,36,27,85,64,48,36,27,85,64,48,36,27
490,86,65,48,37,27,86,65,48,37,27,86,65,48,37,27
491,87,65,49,37,28,87,65,49,37,28,87,65,49,37,28
492,88,66,50,38,28,88,66,50,38,28,88,66,50,38,28
493,89,67,50,38,28,89,67,50,38,28,89,67,50,38,28
495,90,68,51,39,28,90,68,51,39,28,90,68,51,39,28
496,91,68,51,39,29,91,68,51,39,29,91,68,51,39,29
497,92,69,52,39,29,92,69,52,39,29,92,69,52,39,29
498,93,70,52,40,29,93,70,52,40,29,93,70,52,40,29
499,94,71,53,40,30,94,71,53,40,30,94,71,53,40,30
500,95,71,53,41,30,95,71,53,41,30,95,71,53,41,30
502,96,72,54,41,30,96,72,54,41,30,96,72,54,41,30
503,97,73,55,42,31,97,73,55,42,31,97,73,55,42,31
504,98,74,55,42,31,98,74,55,42,31,98,74,55,42,31
505,99,74,56,42,31,99,74,56,42,31,99,74,56,42,31
506,100,75,56,43,32,100,75,56,43,32,100,75,56,43,32
507,101,76,57,43,32,101,76,57,43,32,101,76,57,43,32
508,102,77,57,44,32,102,77,57,44,32,102,77,57,44,32
509,103,77,58,44,33,103,77,58,44,33,103,77,58,44,33
510,104,78,59,45,33,104,78,59,45,33,104,78,59,45,33
511,105,79,59,45,33,105,79,59,45,33,105,79,59,45,33
512,106,80,60,45,34,106,80,60,45,34,106,80,60,45,34
513,107,80,60,46,34,107,80,60,46,34,107,80,60,46,34
514,108,81,61,46,34,108,81,61,46,34,108,81,61,46,34
515,109,82,61,47,34,109,82,61,47,34,109,82,61,47,34
516,110,83,62,47,35,110,83,62,47,35,110,83,62,47,35
517,111,83,62,48,35,111,83,62,48,35,111,83,62,48,35
518,112,84,63,48,35,112,84,63,48,35,112,84,63,48,35
519,113,85,64,48,36,113,85,64,48,36,113,85,64,48,36
520,114,86,64,49,36,114,86,64,49,36,114,86,64,49,36
521,115,86,65,49,36,115,86,65,49,36,115,86,65,49,36
522,116,87,65,50,37,116,87,65,50,37,116,87,65,50,37
523,117,88,66,50,37,117,88,66,50,37,117,88,66,50,37
524,118,89,66,51,37,118,89,66,51,37,118,89,66,51,37
525,119,89,67,51,38,119,89,67,51,38,119,89,67,51,38
526,121,91,68,52,38,121,91,68,52,38,121,91,68,52,38
527,122,92,69,52,39,122,92,69,52,39,122,92,69,52,39
528,123,92,69,53,39,123,92,69,53,39,123,92,69,53,39
529,124,93,70,53,39,124,93,70,53,39,124,93,70,53,39
530,125,94,70,54,40,125,94,70,54,40,125,94,70,54,40
531,126,95,71,54,40,126,95,71,54,40,126,95,71,54,40
532,127,95,71,54,40,127,95,71,54,40,127,95,71,54,40
533,129,97,73,55,41,129,97,73,55,41,129,97,73,55,41
534,130,98,73,56,41,130,98,73,56,41,130,98,73,56,41
535,131,98,74,56,41,131,98,74,56,41,131,98,74,56,41
536,132,99,74,57,42,132,99,74,57,42,132,99,74,57,42
537,134,101,75,57,42,134,101,75,57,42,134,101,75,57,42
538,135,101,76,58,43,135,101,76,58,43,135,101,76,58,43
539,136,102,77,58,43,136,102,77,58,43,136,102,77,58,43
540,137,103,77,59,43,137,103,77,59,43,137,103,77,59,43
541,139,104,78,60,44,139,104,78,60,44,139,104,78,60,44
542,140,105,79,60,44,140,105,79,60,44,140,105,79,60,44
543,141,106,79,60,45,141,106,79,60,45,141,106,79,60,45
544,143,107,80,61,45,143,107,80,61,45,143,107,80,61,45
545,144,108,81,62,46,144,108,81,62,46,144,108,81,62,46
546,145,109,82,62,46,145,109,82,62,46,145,109,82,62,46
547,147,110,83,63,47,147,110,83,63,47,147,110,83,63,47
548,148,111,83,63,47,148,111,83,63,47,148,111,83,63,47
549,149,112,84,64,47,149,112,84,64,47,149,112,84,64,47
550,151,113,85,65,48,151,113,85,65,48,151,113,85,65,48
551,152,114,86,65,48,152,114,86,65,48,152,114,86,65,48
552,154,116,87,66,49,154,116,87,66,49,154,116,87,66,49
553,155,116,87,66,49,155,116,87,66,49,155,116,87,66,49
554,156,117,88,67,49,156,117,88,67,49,156,117,88,67,49
555,158,119,89,68,50,158,119,89,68,50,158,119,89,68,50
556,159,119,89,68,50,159,119,89,68,50,159,119,89,68,50
557,161,121,91,69,51,161,121,91,69,51,161,121,91,69,51
558,162,122,91,69,51,162,122,91,69,51,162,122,91,69,51
559,164,123,92,70,52,164,123,92,70,52,164,123,92,70,52
560,165,124,93,71,52,165,124,93,71,52,165,124,93,71,52
561,167,125,94,72,53,167,125,94,72,53,167,125,94,72,53
562,169,127,95,72,53,169,127,95,72,53,169,127,95,72,53
563,170,128,96,73,54,170,128,96,73,54,170,128,96,73,54
564,172,129,97,74,54,172,129,97,74,54,172,129,97,74,54
565,173,130,97,74,55,173,130,97,74,55,173,130,97,74,55
566,175,131,98,75,55,175,131,98,75,55,175,131,98,75,55
