id,id_item,id_upgrade_base
94,86741,445
95,86743,445
96,86740,445
97,89964,445
98,86742,445
99,86793,445
100,86739,445
101,89965,445
102,86747,445
103,89966,445
104,86748,445
105,86746,445
106,86745,445
107,86744,445
111,85922,445
112,85923,445
113,85924,445
114,85925,445
115,85926,445
116,85975,445
117,85976,445
118,85977,445
119,85978,445
120,85979,445
121,86134,445
122,87012,445
123,87013,445
124,87014,445
125,87015,445
126,87016,445
127,87017,445
128,87018,445
129,87019,445
130,87020,445
131,87021,445
132,87060,445
133,89766,445
134,89767,445
135,89768,445
136,89929,445
137,89930,445
138,89931,445
149,89438,451
152,81058,451
1236,81059,451
1237,81060,451
1238,81061,451
1239,81062,451
1240,81063,451
1241,81064,451
1242,81065,451
1243,81066,451
1244,81067,451
1245,81068,451
1246,81069,451
1247,81070,451
1248,81071,451
1249,81072,451
1250,81073,451
1251,81074,451
1252,81075,451
1253,81076,451
1254,81077,451
1255,81078,451
1256,81079,451
1257,81080,451
1258,81081,451
1259,81082,451
1260,81083,451
1261,81084,451
1262,81085,451
1263,81086,451
1264,81087,451
1265,81088,451
1266,81089,451
1267,81090,451
1268,81091,451
1269,81092,451
1270,81093,451
1271,81094,451
1272,81095,451
1273,81096,451
1274,81097,451
1275,81098,451
1276,81099,451
1277,81100,451
1278,81101,451
1279,81102,451
1280,81103,451
1281,81104,451
1282,81105,451
1283,81106,451
1284,81107,451
1285,81108,451
1286,81109,451
1287,81110,451
1288,81111,451
1289,81112,451
1290,81113,451
1291,81114,451
1292,81123,451
1293,81124,451
1294,81125,451
1295,81126,451
1296,81127,451
1297,81128,451
1298,81129,451
1299,81130,451
1300,81131,451
1301,81132,451
1302,81133,451
1303,81134,451
1304,81135,451
1305,81136,451
1306,81138,451
1307,81139,451
1308,81140,451
1309,81141,451
1310,81179,451
1311,81180,451
1312,81181,451
1313,81182,451
1314,81184,451
1315,81185,451
1316,81186,451
1317,81187,451
1318,81188,451
1319,81189,451
1320,81190,451
1321,81191,451
1322,81192,451
1323,81229,451
1324,81230,451
1325,81232,451
1326,81233,451
1327,81234,451
1328,81235,451
1329,81236,451
1330,81237,451
1331,81238,451
1332,81239,451
1333,81240,451
1334,81241,451
1335,81242,451
1336,81243,451
1337,81244,451
1338,81245,451
1339,81246,451
1340,81247,451
1341,81248,451
1342,81249,451
1343,81251,451
1344,81252,451
1345,81253,451
1346,81254,451
1347,81255,451
1348,81256,451
1349,81257,451
1350,81262,451
1351,81263,451
1352,81264,451
1353,81265,451
1354,81266,451
1355,81267,451
1356,81268,451
1357,81270,451
1358,81271,451
1359,81272,451
1360,81273,451
1361,81274,451
1362,81275,451
1363,81276,451
1364,81277,451
1365,81279,451
1366,81280,451
1367,81281,451
1368,81282,451
1369,81283,451
1370,81284,451
1371,81285,451
1372,81286,451
1373,81287,451
1374,81288,451
1375,81289,451
1376,81290,451
1377,81291,451
1378,81292,451
1379,81560,451
1380,81561,451
1381,81562,451
1382,81563,451
1383,81564,451
1384,81565,451
1385,81566,451
1386,81567,451
1387,81568,451
1388,81569,451
1389,81570,451
1390,81571,451
1391,81572,451
1392,81573,451
1393,81574,451
1394,81575,451
1395,81576,451
1396,81577,451
1397,81578,451
1398,81687,451
1399,81688,451
1400,81689,451
1401,81690,451
1402,81691,451
1403,81692,451
1404,81693,451
1405,81694,451
1406,81695,451
1407,81696,451
1408,81697,451
1409,81698,451
1410,81699,451
1411,81700,451
1412,82812,451
1413,82813,451
1414,82814,451
1415,82815,451
1416,82816,451
1417,82817,451
1418,82818,451
1419,82819,451
1420,82820,451
1421,82821,451
1422,82822,451
1423,82823,451
1424,82824,451
1425,82825,451
1426,82826,451
1427,82827,451
1428,82828,451
1429,82847,451
1430,82848,451
1431,82850,451
1432,82851,451
1433,82852,451
1434,82853,451
1435,82854,451
1436,82855,451
1437,82856,451
1438,82857,451
1439,82858,451
1440,82860,451
1441,82861,451
1442,82862,451
1443,82968,451
1444,82969,451
1445,82970,451
1446,82971,451
1447,82972,451
1448,82973,451
1449,82974,451
1450,85567,451
1453,89392,451
1454,89393,451
1455,89394,451
1456,89395,451
1457,89396,451
1458,89397,451
1459,89398,451
1460,89399,451
1461,89400,451
1462,89435,451
1463,89437,451
1464,89439,451
1465,89440,451
1466,89441,451
1467,89442,451
1468,89443,451
1469,89444,451
1470,89445,451
1471,89446,451
1472,89447,451
1473,89448,451
1474,89449,451
1475,89450,451
1476,89451,451
1477,89452,451
1478,89453,451
1479,89454,451
1480,89455,451
1481,89456,451
1482,89457,451
1483,89458,451
1484,89459,451
1485,89460,451
1486,89461,451
1487,89462,451
1488,89463,451
1489,89464,451
1490,89465,451
1491,89466,451
1492,89467,451
1493,89468,451
1494,89469,451
1495,89470,451
1496,89471,451
1497,89472,451
1498,89473,451
1499,89474,451
1500,89475,451
1501,89476,451
1502,89477,451
1503,89478,451
