id,id_property_1,id_property_2,id_property_3,desc,coeff_1,coeff_2,coeff_3,unk_7,unk_8,amount_1,amount_2,amount_3,id_aura,slot,req_skill,req_skill_value,min_scaling_level,charges,type_1,type_2,type_3,unk_1,req_player_level,max_scaling_level,scaling_type,unk_6,unk_5
13,0,0,0,"Sharpened (+$k1 Damage)",1.000000,0.000000,0.000000,0,0,3,0,0,28,33,0,0,5,0,2,0,0,0,0,1,-1,0,0
14,0,0,0,"Sharpened (+$k1 Damage)",0.363700,0.000000,0.000000,0,0,4,0,0,28,33,0,0,15,0,2,0,0,0,0,15,-1,0,0
15,0,0,0,"Reinforced (+$k1 Armor)",0.030000,0.000000,0.000000,0,0,8,0,0,0,32,0,0,1,0,4,0,0,0,0,60,-1,0,0
16,0,0,0,"Reinforced (+$k1 Armor)",0.070000,0.000000,0.000000,0,0,16,0,0,0,32,0,0,5,0,4,0,0,0,0,60,-1,0,0
17,0,0,0,"Reinforced (+$k1 Armor)",0.100000,0.000000,0.000000,0,0,24,0,0,0,32,0,0,20,0,4,0,0,0,0,60,-1,0,0
18,0,0,0,"Reinforced (+$k1 Armor)",0.130000,0.000000,0.000000,0,0,32,0,0,0,32,0,0,30,0,4,0,0,0,0,60,-1,0,0
19,0,0,0,"Weighted (+$k1 Damage)",0.666700,0.000000,0.000000,0,0,2,0,0,0,33,0,0,1,0,2,0,0,0,0,1,-1,0,0
20,0,0,0,"Weighted (+$k1 Damage)",1.000000,0.000000,0.000000,0,0,3,0,0,0,33,0,0,1,0,2,0,0,0,0,1,-1,0,0
21,0,0,0,"Weighted (+$k1 Damage)",0.363700,0.000000,0.000000,0,0,4,0,0,0,33,0,0,15,0,2,0,0,0,0,15,-1,0,0
24,0,0,0,"+$k1 Mana",0.100000,0.000000,0.000000,0,0,5,0,0,0,32,0,0,1,0,5,0,0,0,0,60,-1,0,0
25,14122,0,0,"Shadow Oil",0.000000,0.000000,0.000000,0,0,15,0,0,1,0,0,0,24,0,1,0,0,0,0,24,0,0,0
